user_idx,subscription_type,cart_discount_price,order_shipping_price,order_total_price,paid_date
461b402b9eb50c63396005ccba249f37b3cff10d2387ca44b6d0bd4fd40642e1,구독,5100,3000,12900,2020-10-26
47c6e6fa6ec7b1909e35477f4036cd3f54a8d4dce870467f3f749e9de0d2e2bf,구독,5100,3000,12900,2020-10-29
d7837ac94dec4664926de7ecb248898fd67b2c33086676e6ff461fe5235f279a,구독,5100,3000,12900,2020-10-28
a92dfc9025d58b0cf66f6d6d1fd585d496bf2c9f7ec7311e8e3469bfa17eba4f,구독,5100,3000,12900,2020-10-27
b01b6c545cc3043eb6f93c0890c7df1f4efe16484d850d8012d536f75ca59e17,구독,5100,3000,12900,2020-10-28
d97272aa2497db63beb4b267cad1d32d381558230f65a650c998efa377de5dcc,구독,0,3000,18000,2020-10-24
18b3a23e2928e74041792299db8d708bc05107f19aea6abcde98a0d292b02148,구독,5100,3000,12900,2020-10-29
27035b5f516880b9dc2f8c72cf7fdef9575bca6cbc5ab3be31da81adaca50e3c,구독,5100,3000,12900,2020-10-27
bf0db57c840d071260b70c5242715cf4461ccd27e355bbbf08c3fd15f1638411,구독,0,3000,18000,2020-10-27
b134dcb382b13dda04c192ccf7e8cde58d6b9ed5a2a8474a009d7e37fff2eb75,구독,5100,3000,12900,2020-10-26
aade58ef56eb4c85e91fa1a56b91f6d345dde443e2fe39ba7f0d0f3ffaca4176,구독,5100,3000,12900,2020-10-31
11caa0773a2c12c49adb3e395e7ef04e6afd23e55897978a1d5ea551a8370b81,구독,0,3000,18000,2020-10-28
2bc7877476580744a4328aba1d1ad907ebdebe81df46f99a52f144eecf6501b9,구독,5100,3000,12900,2020-10-28
cbc6eb405bd8cd4c8e19553d09423200c29068da1a521a76e43c909368fd71e0,구독,5100,3000,12900,2020-10-22
04bcc57e6579c1f215f8f5eeb0d39f864932bea148d06dccdc0135684970693f,구독,5100,3000,12900,2020-10-28
83ee72c8c8fb4de990e656d8a861d49f4c43cd6a8713ca7b6be5add38bb322e4,구독,5100,3000,12900,2020-10-15
330da6f798368f624e86f516b03ef7b3d3a1ff4b56e9d19ced6d9abcb1c7e866,구독,5100,3000,12900,2020-10-23
baa1dff40ec0e23e4cd84a3bf27676742d7c2b3b4506ca2a1dd3af471e452cec,구독,0,3000,18000,2020-10-19
3a5b07c427a9cfe0a5ca915958d18af70eee4d42c88be260deaca6f09ec493ea,구독,15000,0,0,2020-09-15
62fe52c661a8eadd3d399b23c6f94f8ec114f70e576109707036fa7d38b8de12,구독,5100,3000,12900,2020-10-22
31654d4f1a03036f615111383ec8ed1a129e295bafcfa4d00fd4ba00e591984a,구독,5100,3000,12900,2020-10-17
