user_idx,size,created_date
1d391e51744efeabd6f659cc71d0ec91f646967e2af8ff8f5746fddb7928d755,70C,2020-10-21T22:22:57.000+09:00
1d4d27c9bd0cd4967cf8b3dbcca939e44a889e3529cbb637096a7056652f329d,80A,2020-04-21T08:01:32.000+09:00
1dd6e0c841b0043878dc8b2dd76dd23344e7cbebc6f99ba851f49b816a50ff33,80C,2020-11-21T01:11:29.000+09:00
1df1068846607d99f28a1f7e97deb19964626bff4afc8c5286d690aa926560fa,70B,2020-03-10T19:41:44.000+09:00
1e21238ca3de833b768ace4c95a7529ee0aaa990999317275cbf5ee8e822cf2d,80B,2020-10-20T05:05:04.000+09:00
1e26dadfb51413da7a437f1f93973fc0f5cf373d7670c58f0d595feb0becbfa2,80B,2020-11-25T11:34:37.000+09:00
1e7300673f2c60a023f50da2874b267cfcb5cd5a1e1ef73d4f9fb99a8c68d959,75A,2020-10-21T05:11:29.000+09:00
1e73c868d9712bdaefd618944d4df0b9d46e32f7bb82f54861eefdba70da0435,75B,2020-11-02T02:20:42.000+09:00
1e7a5945b4a7dbf512ed16c52e1ba23f5f84334f66072bf37388b108bea188c4,70B,2020-11-06T19:09:17.000+09:00
1ebcd9c1c2e1ff8a4d5da11931a6e3893ada0636afe29c15d04b26b0bf2fa1bf,75A,2020-03-07T17:37:33.000+09:00
1f8cf62c39f7ed84bd5ab0b266adcb73417c49f219d4196b9b7bb1c6bc95543c,75A,2020-04-02T21:04:51.000+09:00
1ff7944341fa47de5a175899a4ba57fd0da7b1044da1a8207e0e1302347e41e3,80A,2020-10-20T05:05:07.000+09:00
2032493f934de94913481e819aea964c655c2e1459dfa1ad6b7fcf99670e2837,75C,2020-04-25T13:16:59.000+09:00
205048b040ecc74a193b863cc51ed497786b9658e88464aad6637bbdf57cdadc,80A,2019-09-15T17:08:37.000+09:00
2055187d99dd18f6e1bca5d406cf56f7bc60e9894222464f66561548ea1200bf,75B,2020-10-20T05:05:07.000+09:00
20652a244c7814a0e923dc0ee127da226e2ebbd7b333db3fe8c180feb507d2a9,85B,2020-10-20T05:05:05.000+09:00
20a1e69340d2647ead79eaae6570958ccc5e28d70755927ec6b07bac01b987d9,70C,2020-09-21T08:35:55.000+09:00
20fa1141b5812f25733e9bbf962754d2b332aead1fd66cb9362f70ff0ffce859,80A,2020-04-03T20:49:08.000+09:00
2166224c9c1cfe64d7977180c2d0917ffded8ed882103430e51a523d1f1b3a93,70B,2020-10-20T05:05:06.000+09:00
222ee6c7a396107a7941b0d26d0eb6ac6b95ee5872b41dfc9fc01fe91dbb17f4,75B,2019-10-03T12:28:31.000+09:00
223f845bd7d81ce1aaaf0610319592516acb09c06729f39b1e3b94c2deabc51c,75A,2020-11-25T23:52:17.000+09:00
226dcef990075bbe695ceaefa63960d84c477c06877fb2bd6ad808dfda2a0d87,80B,2020-04-15T15:59:36.000+09:00
23c12c7dcbc044c8f28560af6c453c01fc42cbc54da250d1b503eec2aaa2d702,75B,2020-04-11T05:50:20.000+09:00
24978a83f71e7dd9425570b5f6b24dd96adf427783e41eb7c93ab15580f99b00,65B,2020-10-21T05:11:29.000+09:00
25008ae4d3e2256a39e933036a8088c1219a3d14d3ac04e7eafdef8e11665cda,70B,2020-03-18T02:39:51.000+09:00
26a3c2461358645294dd92d49e1601351720012d107a5922bd35fe77e6d350a5,65A,2019-10-15T11:04:47.000+09:00
28285fb7790caa56cfda49896dfc26eed3f7e8cfeace70c1126b3da77212f38e,65A,2020-10-20T05:05:06.000+09:00
2853badd70548f98ca5d2ffb34e257fc2085bc41d9f0353fb0e19fe9d82f34da,80B,2020-10-20T05:05:05.000+09:00
28a5bf6320ff4afc65206435f602b9469756350c525fa60fe5467190e8f615d8,75A,2019-10-02T15:59:29.000+09:00
